location,count
City of Westminster,6256
Croydon,4484
Lambeth,4474
Newham,4309
Brent,4246
Southwark,4048
Lewisham,3611
Tower Hamlets,3607
Hackney,3523
Camden,3476
Haringey,3221
Greenwich,2957
Ealing,2829
Islington,2690
Barking and Dagenham,2618
Barnet,2483
Enfield,2423
Waltham Forest,2422
Bromley,2401
Wandsworth,2390
Hammersmith and Fulham,2390
Hillingdon,2314
Hounslow,2254
Redbridge,2181
Havering,2154
Bexley,1882
Kensington and Chelsea,1769
Kingston upon Thames,1614
Harrow,1526
Merton,1148
Sutton,1117
Richmond upon Thames,862
Out of force,662
Heathrow,408
