FY,Bus journeys (m),Underground journeys (m),DLR Journeys (m),Tram Journeys (m),Overground Journeys (m),Emirates Airline Journeys (m),TfL Rail Journeys (m)
11,2288.9,1107.4,78.3,27.700000000000003,30.7,0.0,0.0
12,2344.6000000000004,1170.4999999999998,86.1,28.299999999999997,102.60000000000001,0.0,0.0
13,2334.8,1229.3999999999999,100.19999999999999,30.1,124.60000000000001,1.9800000000000002,0.0
14,2382.2999999999997,1264.5,101.1,31.099999999999998,135.7,1.5100000000000005,0.0
15,2385.2,1305.4,110.50000000000001,30.7,139.70000000000002,1.53,2.9
16,2314.2,1349.4,117.0,26.9,183.20000000000002,1.5400000000000003,40.099999999999994
17,2261.8,1378.0000000000002,122.49999999999997,29.4,188.6,1.4800000000000002,47.699999999999996
18,2247.6,1356.8,119.7,28.999999999999996,189.9,1.3800000000000003,45.4
19,2220.4,1384.7,121.6,28.799999999999994,189.49999999999997,1.3300000000000003,55.3
20,2653.7,1522.7,140.7,34.3,222.70000000000002,1.3900000000000003,72.80000000000001
