date,Africa,Asia,Europe,North America,Oceania,South America
1970,0.0,45.2722511291504,0.0,33.573860168457,0.0,31.0884895324707
1971,58.797036488850914,30.258539835611998,11.3646330833435,36.67749929428105,0.0,14.355899810791
1972,62.796591186523436,36.922689437866225,13.667292386293422,28.663910433650017,0.0,0.0
1973,53.06243451436361,42.03874969482424,15.71110641956329,27.5776996612549,0.0,0.0
1974,59.91079902648926,54.20599975585935,14.62204618752002,46.2867231369019,0.0,35.0388717651367
1975,39.05073610941573,54.103263854980455,12.117116153240211,54.23839187622075,0.0,32.9403381347656
1976,37.900136947631864,37.140699068705246,11.720082818107175,25.7584104537964,0.0,0.0
1977,53.801385084787995,31.042162322998024,11.093194464842483,3.52444005012512,1.38458001613617,0.0
1978,49.49109404427667,34.11502075195313,10.246825959001267,0.0,0.0,0.0
1979,40.589188416798926,31.83064147404261,7.388387501239775,34.41408570607502,1.36043000221252,0.0
1980,48.59579699380057,16.57423019409179,4.328507497906687,56.27132415771485,0.605910003185272,0.0
1981,49.46375865936278,37.0052064259847,4.119124978780748,13.397000074386606,0.334899991750717,15.2311697006226
1982,52.3504997253418,38.26514935493469,6.524138281742732,49.034219741821246,0.248180001974106,0.0
1983,38.496098041534424,4.91715490818024,8.988210042317718,18.317533810933437,0.453260004520416,0.0
1984,51.72728951772054,8.615989685058594,8.768689811229699,26.642645835876493,0.522819995880127,0.0
1985,50.59374885559082,14.040583610534668,7.245316664377846,29.16744323571521,0.41567999124527,0.0
1986,61.4128890991211,14.952113151550279,8.678319740295402,22.773568058013893,8.120004996657384,0.0
1987,77.4197807312012,23.360635375976585,10.29962003231049,27.982695341110222,1.87682998180389,12.0325002670288
1988,78.6549301147461,28.371613184610997,14.590530276298512,17.0071907043457,1.46079003810883,14.1630601882935
1989,49.8102378845215,25.546276648839306,9.918609778086344,26.906778335571296,22.637879848480246,0.0
1990,62.848253250122106,23.379849433898897,7.5816249400377345,21.66209348042807,0.72775000333786,0.0
1991,41.48486566543579,20.704180081685397,6.114726042747501,21.09273020426433,1.05050003528595,0.0
1992,32.88641293843587,20.676980018615716,7.9527525901794345,20.87499475479125,1.67297005653381,0.0
1993,33.87069411277771,23.679318189620968,6.079627496190366,20.31821489334105,1.02070999145508,0.0
1994,26.6946120262146,11.486911892890936,3.177064102888107,16.407846927642833,1.45996999740601,24.3987293243408
1995,25.340473294258118,18.605302456766363,1.7593566340704763,21.99684047698975,1.59851002693176,13.0739898681641
1996,25.65645503997805,22.9014501571655,6.170275713716232,24.01067543029785,0.827610015869141,16.86149024963375
1997,58.57682418823242,19.93196034431459,5.618064180016523,0.0,0.0,13.3897399902344
1998,40.28483867645264,28.442490324378014,3.451600827276703,0.0,6.16477990150452,13.602665007114425
1999,38.50869661569595,25.197137368576865,3.1310720282793056,15.250367773903747,11.172240138053887,12.596413993835444
2000,33.81323843002321,21.57874928201948,3.5429610817560144,17.312461900711064,9.50757018725077,9.663632258772855
2001,41.86163851949904,18.170473173260692,3.690042232887611,16.39455196592543,16.520597338676463,12.859929919242845
2002,35.004770278930664,15.52937723696232,2.5828323202828556,13.23459792137146,7.105530103047696,13.190895140171062
2003,33.23438759644826,16.58871588110924,2.4389858799504824,6.214794368350084,16.57101011276245,14.612463235855095
2004,37.523232772946365,15.302374993761381,2.3302907211972124,7.766037881374359,6.71680492162704,7.95149672031404
2005,35.54581670200125,16.749289150421426,1.7636219243849482,7.881768104704945,0.0,11.992520141601577
2006,35.20474081773024,13.653011416750294,2.2525690224983053,9.756119873374702,16.7465496063232,10.630065870285042
2007,31.149240273695735,8.844448301081469,3.0957341939210887,7.053538342316949,29.8762702941895,8.25958751142026
2008,29.909763539830834,10.457769211381672,3.3619443192612377,11.349131405353557,0.0,6.165341754754386
2009,32.788762376858635,9.182231500744827,3.462800968798899,12.305527687072745,1.93646502494812,8.71605635773051
2010,33.37988042831421,9.581020875387672,3.5122351296471828,11.278659820556651,0.0,8.229170054197308
2011,42.58369159698487,9.346050612131751,3.5481393942609434,11.161339918772384,2.04088997840881,7.639234510335046
2012,28.276190545823827,9.405701511181313,3.2198768700473033,8.803847070251187,3.0111332734425833,7.407508969306946
2013,26.428664247194927,9.383568638137413,2.827302744414547,10.779622679406943,3.5119066635767613,4.702583452065783
2014,34.04057114464896,9.765044645829635,2.6226297171217285,9.66886843626316,5.225981667637828,5.1444899610110655
2015,36.22526480356853,7.168637359684163,2.3075248560792696,9.227980011808025,8.31722514579693,5.476121506520677
2016,38.33442845344545,5.788413042632431,2.611037242950666,13.268864071369169,15.053985019524879,4.350954358066828
2017,32.9610095024109,7.192436956442325,2.8588822087557566,13.688980092604957,1.919714987277985,4.539828624177193
2018,27.465432405471798,7.286266082754508,2.6233749848447347,11.071450257301331,8.803916454315194,6.251327872276314
2019,20.16465495824814,6.904692292213447,5.031251191627224,11.201164841651911,22.965893427530926,0.0
